Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
sleek-fitness,Sleek fitness,<p>High-quality fitness for all your needs.</p>,EcoGoods,Sports & Outdoors,Sports & Outdoors,"fitness, sports & outdoors, ecogoods",TRUE,Size,Small,Color,Green,,,4949-548,258,shopify,47,deny,manual,167.12,,TRUE,TRUE,169358194620,https://example.com/images/sleek-fitness.jpg,1,Sleek fitness,FALSE,Sleek fitness,Buy our sleek fitness - perfect for any sports & outdoors enthusiast!,,,,,,,,,,,,,,,g,,56.98,,,active
innovative-fitness,Innovative fitness,<p>High-quality fitness for all your needs.</p>,TechCo,Sports & Outdoors,Sports & Outdoors,"fitness, sports & outdoors, techco",TRUE,Size,Small,Color,Black,,,1812-531,911,shopify,57,deny,manual,172.87,,TRUE,TRUE,829267958986,https://example.com/images/innovative-fitness.jpg,1,Innovative fitness,FALSE,Innovative fitness,Buy our innovative fitness - perfect for any sports & outdoors enthusiast!,,,,,,,,,,,,,,,g,,10.33,,,active
premium-fitness,Premium fitness,<p>High-quality fitness for all your needs.</p>,EcoGoods,Electronics,Electronics,"fitness, electronics, ecogoods",TRUE,Size,Large,Color,White,,,8565-759,945,shopify,74,deny,manual,133.00,,TRUE,TRUE,281022790760,https://example.com/images/premium-fitness.jpg,1,Premium fitness,FALSE,Premium fitness,Buy our premium fitness - perfect for any electronics enthusiast!,,,,,,,,,,,,,,,g,,29.08,,,active
eco-friendly-fitness,Eco-friendly fitness,<p>High-quality fitness for all your needs.</p>,FashionHub,Sports & Outdoors,Sports & Outdoors,"fitness, sports & outdoors, fashionhub",TRUE,Size,Medium,Color,Red,,,6321-151,685,shopify,55,deny,manual,58.06,,TRUE,TRUE,842475969882,https://example.com/images/eco-friendly-fitness.jpg,1,Eco-friendly fitness,FALSE,Eco-friendly fitness,Buy our eco-friendly fitness - perfect for any sports & outdoors enthusiast!,,,,,,,,,,,,,,,g,,66.62,,,active
deluxe-fitness,Deluxe fitness,<p>High-quality fitness for all your needs.</p>,SportsPro,Home & Garden,Home & Garden,"fitness, home & garden, sportspro",TRUE,Size,Large,Color,White,,,7492-781,472,shopify,25,deny,manual,117.12,,TRUE,TRUE,740764243391,https://example.com/images/deluxe-fitness.jpg,1,Deluxe fitness,FALSE,Deluxe fitness,Buy our deluxe fitness - perfect for any home & garden enthusiast!,,,,,,,,,,,,,,,g,,82.49,,,active
premium-fitness,Premium fitness,<p>High-quality fitness for all your needs.</p>,BeautyEssentials,Beauty,Beauty,"fitness, beauty, beautyessentials",TRUE,Size,Medium,Color,Green,,,1620-579,650,shopify,61,deny,manual,195.49,,TRUE,TRUE,257201551455,https://example.com/images/premium-fitness.jpg,1,Premium fitness,FALSE,Premium fitness,Buy our premium fitness - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,14.47,,,active
deluxe-fitness,Deluxe fitness,<p>High-quality fitness for all your needs.</p>,TechCo,Fashion,Fashion,"fitness, fashion, techco",TRUE,Size,Large,Color,Red,,,8431-518,420,shopify,58,deny,manual,42.17,,TRUE,TRUE,976180512448,https://example.com/images/deluxe-fitness.jpg,1,Deluxe fitness,FALSE,Deluxe fitness,Buy our deluxe fitness - perfect for any fashion enthusiast!,,,,,,,,,,,,,,,g,,92.23,,,active
deluxe-fitness,Deluxe fitness,<p>High-quality fitness for all your needs.</p>,TechCo,Beauty,Beauty,"fitness, beauty, techco",TRUE,Size,Large,Color,Red,,,4088-180,959,shopify,96,deny,manual,106.25,,TRUE,TRUE,175579804626,https://example.com/images/deluxe-fitness.jpg,1,Deluxe fitness,FALSE,Deluxe fitness,Buy our deluxe fitness - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,59.81,,,active
innovative-fitness,Innovative fitness,<p>High-quality fitness for all your needs.</p>,SportsPro,Electronics,Electronics,"fitness, electronics, sportspro",TRUE,Size,Large,Color,Green,,,1470-904,559,shopify,49,deny,manual,170.62,,TRUE,TRUE,771628620620,https://example.com/images/innovative-fitness.jpg,1,Innovative fitness,FALSE,Innovative fitness,Buy our innovative fitness - perfect for any electronics enthusiast!,,,,,,,,,,,,,,,g,,86.93,,,active
premium-fitness,Premium fitness,<p>High-quality fitness for all your needs.</p>,BeautyEssentials,Fashion,Fashion,"fitness, fashion, beautyessentials",TRUE,Size,Medium,Color,Blue,,,4503-460,889,shopify,77,deny,manual,37.97,,TRUE,TRUE,600860974699,https://example.com/images/premium-fitness.jpg,1,Premium fitness,FALSE,Premium fitness,Buy our premium fitness - perfect for any fashion enthusiast!,,,,,,,,,,,,,,,g,,98.55,,,active
    
